NETWORK ID     NAME                  DRIVER    SCOPE
7e6169fe627c   bridge                bridge    local
035bee496aa6   homelab               bridge    local
b6915f3b89c1   host                  host      local
0be74ff6c7fe   immich_default        bridge    local
9e14ff387d6b   monitoring            bridge    local
31858a474450   none                  null      local
c9dad5019056   shekel-dev_default    bridge    local
8c186fe283ea   shekel-prod_backend   bridge    local
c6c6c20b7506   shekel_backend        bridge    local
5ab1fec4afaa   shekel_default        bridge    local
7af4d8fd6994   shekel_frontend       bridge    local
